scene,subset,lpips_50k,psnr_50k,ssim_50k,evaluation_count
defocus_cake,Defocus10,0.005581393837928772,43.77949142456055,0.9920767545700073,6
defocus_caps,Defocus10,0.010316461324691772,42.24491882324219,0.9881651997566223,7
defocus_cisco,Defocus10,0.02335011027753353,37.266963958740234,0.9773991107940674,30
defocus_coral,Defocus10,0.047165341675281525,33.72734832763672,0.9631812572479248,25
defocus_cupcake,Defocus10,0.0006170087726786733,48.69646072387695,0.9966539740562439,10
defocus_cups,Defocus10,0.015682188794016838,41.4390754699707,0.9869986176490784,17
defocus_daisy,Defocus10,0.024009639397263527,33.00628662109375,0.966397762298584,25
defocus_sausage,Defocus10,0.002764262957498431,45.307891845703125,0.9941320419311523,6
defocus_tools,Defocus10,0.003395194187760353,47.67924499511719,0.9957132935523987,7
motion_blurball,Motion10,0.0025137136690318584,51.414283752441406,0.9967228770256042,9
motion_blurbasket,Motion10,0.02350388467311859,36.33772277832031,0.9744938611984253,23
motion_blurbuick,Motion10,0.0018946888158097863,44.7010383605957,0.9962691068649292,7
motion_blurcoffee,Motion10,0.004538197070360184,51.9336051940918,0.996093213558197,5
motion_blurdecoration,Motion10,0.004002994392067194,42.76581573486328,0.9930488467216492,12
motion_blurgirl,Motion10,0.0017269665841013193,46.9145622253418,0.9957981109619141,6
motion_blurheron,Motion10,0.0035156887024641037,46.81575012207031,0.9955518245697021,7
motion_blurparterre,Motion10,0.002369763096794486,46.662593841552734,0.9955706000328064,8
motion_blurpuppet,Motion10,0.006193553563207388,40.763336181640625,0.9915827512741089,17
motion_blurstair,Motion10,0.0007539581856690347,48.44822692871094,0.9976174831390381,7
defocus_bush,DefocusExtra,0.013931864872574806,40.635921478271484,0.9813432693481445,20
defocus_seal,Defocus10,0.0013281762367114425,46.32823944091797,0.997272253036499,6
