scene,subset,selected_step,psnr,ssim,selection
"defocus_bush","DefocusExtra",50000,40.635921478271484,0.9813432693481445,"best_psnr_checkpoint"
"defocus_cake","Defocus10",50000,43.77948760986328,0.9920767545700073,"best_psnr_checkpoint"
"defocus_caps","Defocus10",50000,42.24513626098633,0.9881656169891357,"best_psnr_checkpoint"
"defocus_cisco","Defocus10",50000,37.26826858520508,0.9774017930030823,"best_psnr_checkpoint"
"defocus_coral","Defocus10",50000,33.72731018066406,0.9631809592247009,"best_psnr_checkpoint"
"defocus_cupcake","Defocus10",50000,48.69646072387695,0.9966539740562439,"best_psnr_checkpoint"
"defocus_cups","Defocus10",50000,41.44131088256836,0.9870015382766724,"best_psnr_checkpoint"
"defocus_daisy","Defocus10",50000,33.006263732910156,0.9663977026939392,"best_psnr_checkpoint"
"defocus_sausage","Defocus10",50000,45.307899475097656,0.9941320419311523,"best_psnr_checkpoint"
"defocus_seal","Defocus10",50000,46.17668914794922,0.997252345085144,"best_psnr_checkpoint"
"defocus_tools","Defocus10",50000,47.679908752441406,0.9957135319709778,"best_psnr_checkpoint"
"motion_blurball","Motion10",50000,51.41349411010742,0.9967227578163147,"best_psnr_checkpoint"
"motion_blurbasket","Motion10",50000,36.3377571105957,0.9744940400123596,"best_psnr_checkpoint"
"motion_blurbuick","Motion10",40000,46.325477600097656,0.9967959523200989,"best_psnr_checkpoint"
"motion_blurcoffee","Motion10",50000,51.93374252319336,0.996093213558197,"best_psnr_checkpoint"
"motion_blurdecoration","Motion10",50000,42.766143798828125,0.993049144744873,"best_psnr_checkpoint"
"motion_blurgirl","Motion10",50000,46.91373825073242,0.9957981109619141,"best_psnr_checkpoint"
"motion_blurheron","Motion10",50000,46.815303802490234,0.9955516457557678,"best_psnr_checkpoint"
"motion_blurparterre","Motion10",50000,46.662353515625,0.9955706596374512,"best_psnr_checkpoint"
"motion_blurpuppet","Motion10",50000,40.76319885253906,0.9915827512741089,"best_psnr_checkpoint"
"motion_blurstair","Motion10",40000,48.474735260009766,0.9975219964981079,"best_psnr_checkpoint"
